sent1,sent2
The vow of celibacy should be abandoned,The vow of celibacy should not be abandoned
We should prohibit women in combat,We should not prohibit women in combat
We should prohibit flag burning,We should not prohibit flag burning
We should end mandatory retirement,We should not end mandatory retirement
Assisted suicide should be a criminal offence,Assisted suicide should not be a criminal offence
We should subsidize vocational education,We should not subsidize vocational education
We should abandon television,We should not abandon television
We should ban targeted killing,We should not ban targeted killing
We should adopt atheism,We should not adopt atheism
We should subsidize student loans,We should not subsidize student loans
We should legalize sex selection,We should not legalize sex selection
We should oppose collectivism,We should not oppose collectivism
We should ban missionary work,We should not ban missionary work
We should limit judicial activism,We should not limit judicial activism
Homeschooling should be banned,Homeschooling should not be banned
Homeopathy brings more harm than good,Homeopathy brings more good than harm
We should abolish the 996 overtime system,We should not abolish the 996 overtime system
We should give up developing electric vehicles,We should not give up developing electric vehicles
We should ban the trading of virtual currencies.,We should not ban the trading of virtual currencies.
We should protect our privacy in the Internet age.,We should not protect our privacy in the Internet age.
We should restrict minors from playing online games.,We should not restrict minors from playing online games.
We should open up three-child policy to encourage childbirth.,We should not open up three-child policy to encourage childbirth.
We should prohibit capital monopoly.,We should not prohibit capital monopoly.
We should prevent the disorderly expansion of capital.,We should not prevent the disorderly expansion of capital.
We should crack down on unreasonably high incomes.,We should not crack down on unreasonably high incomes.
We should ease the education involution.,We should not ease the education involution.
We should vigorously develop the countryside.,We should not vigorously develop the countryside.
Carbon emissions trading should be limited.,Carbon emissions trading should not be limited.
Human Gene editing is a good thing,Human Gene editing is a bad thing
We can rely on Cryptocurrencies like Bitcoins,We can not rely on Cryptocurrencies like Bitcoins
It is right to ban Cattle Slaughter,It is not right to ban Cattle Slaughter
Hindi should be the National language of India,Hindi should not be the National language of India
India is becoming intolerant,India is not becoming intolerant
The Sabarimala verdict is progressive and not a threat to traditions,The Sabarimala verdict is regressive and a threat to traditions
News channels are breaking rules to give Breaking news,News channels are not breaking rules to give Breaking news
MBAs do not make good business leaders,MBAs do make good business leaders
Women are better managers than men,Men are better managers than women
Beauty pageants should be banned,Beauty pageants should not be banned
Driverless cars should be allowed in India,Driverless cars should not be allowed in India
US-Mexico border wall is a good thing,US-Mexico border wall is a bad thing
India should accept Rohingya refugees,India should not accept Rohingya refugees
Marital Rape should be criminalized in India,Marital Rape should not be criminalized in India
Men are silent sufferers in this modern world,Men are not silent sufferers in this modern world
WikiLeaks is not a bane,WikiLeaks is a bane
Bullet for Bullet is a right policy,Bullet for Bullet is a wrong policy
Betting and gambling should be legalized in India,Betting and gambling should not be legalized in India
We should ban alcohol in India,We should not ban alcohol in India
Technology is increasing Unemployment rates,Technology is decreasing Unemployment rates
Chinese products should be banned in India,Chinese products should not be banned in India
Donald Trump's Presidency was a good thing,Donald Trump's Presidency was a bad thing
Homeschooling should be encouraged in India,Homeschooling should not be encouraged in India
Uniforms should be mandatory in schools,Uniforms should not be mandatory in schools
Stray animals should be killed,Stray animals should not be killed
Temples in India can have Gender-Specific rules,Temples in India cannot have Gender-Specific rules
Experimenting on Animals is fair,Experimenting on Animals is not fair
Rapists should be tortured,Rapists should not be tortured
The Internet should be censored,The Internet should not be censored
We should ban kids' reality shows,We should not ban kids' reality shows
Censorship of movies is an outdated concept,Censorship of movies is not an outdated concept
Military training should be made compulsory for all in India,Military training should not be made compulsory for all in India
Aadhaar should be made mandatory in India,Aadhaar should not be made mandatory in India
Adultery should be criminalized,Adultery should not be criminalized
Women can be in combat roles,Women cannot be in combat roles
Organ donation should be made compulsory,Organ donation should not be made compulsory
Reservations in India should be based on economic status,Reservations in India should not be based on economic status
There should be a ban on Bandhs,There should not be a ban on Bandhs
Nepotism exists in Bollywood,Nepotism does not exist in Bollywood
India is safe for women,India is not safe for women
